customer_id,country,region
13085.0,United Kingdom,Europe
13078.0,United Kingdom,Europe
15362.0,United Kingdom,Europe
18102.0,United Kingdom,Europe
12682.0,France,Europe
18087.0,United Kingdom,Europe
13635.0,United Kingdom,Europe
14110.0,United Kingdom,Europe
12636.0,USA,America
17519.0,United Kingdom,Europe
13758.0,United Kingdom,Europe
12362.0,Belgium,Europe
15413.0,United Kingdom,Europe
16321.0,Australia,Other
16167.0,United Kingdom,Europe
17865.0,United Kingdom,Europe
17592.0,United Kingdom,Europe
13767.0,United Kingdom,Europe
17238.0,United Kingdom,Europe
15712.0,United Kingdom,Europe
15311.0,United Kingdom,Europe
16329.0,United Kingdom,Europe
17700.0,United Kingdom,Europe
14911.0,EIRE,Other
15998.0,United Kingdom,Europe
12931.0,United Kingdom,Europe
12533.0,Germany,Europe
17984.0,United Kingdom,Europe
14871.0,United Kingdom,Europe
13394.0,United Kingdom,Europe
16011.0,United Kingdom,Europe
16393.0,United Kingdom,Europe
14040.0,United Kingdom,Europe
12913.0,United Kingdom,Europe
15061.0,United Kingdom,Europe
14341.0,United Kingdom,Europe
17804.0,United Kingdom,Europe
14156.0,EIRE,Other
13599.0,United Kingdom,Europe
17063.0,United Kingdom,Europe
15719.0,United Kingdom,Europe
12490.0,France,Europe
15793.0,United Kingdom,Europe
17056.0,United Kingdom,Europe
13526.0,United Kingdom,Europe
14654.0,United Kingdom,Europe
17998.0,United Kingdom,Europe
17742.0,United Kingdom,Europe
15326.0,United Kingdom,Europe
14478.0,United Kingdom,Europe
15967.0,United Kingdom,Europe
17611.0,United Kingdom,Europe
15051.0,United Kingdom,Europe
13097.0,United Kingdom,Europe
13590.0,United Kingdom,Europe
15984.0,United Kingdom,Europe
16887.0,United Kingdom,Europe
12921.0,United Kingdom,Europe
14543.0,United Kingdom,Europe
15945.0,United Kingdom,Europe
18037.0,United Kingdom,Europe
15662.0,United Kingdom,Europe
15380.0,United Kingdom,Europe
13110.0,United Kingdom,Europe
12836.0,United Kingdom,Europe
15005.0,United Kingdom,Europe
16620.0,United Kingdom,Europe
12758.0,Portugal,Europe
17961.0,United Kingdom,Europe
15601.0,United Kingdom,Europe
13585.0,United Kingdom,Europe
13442.0,United Kingdom,Europe
13381.0,United Kingdom,Europe
16763.0,United Kingdom,Europe
17243.0,United Kingdom,Europe
14865.0,United Kingdom,Europe
17345.0,United Kingdom,Europe
13819.0,United Kingdom,Europe
15808.0,United Kingdom,Europe
17191.0,United Kingdom,Europe
13748.0,United Kingdom,Europe
15265.0,United Kingdom,Europe
15750.0,United Kingdom,Europe
17428.0,United Kingdom,Europe
15485.0,United Kingdom,Europe
17246.0,United Kingdom,Europe
14061.0,United Kingdom,Europe
14108.0,United Kingdom,Europe
13648.0,United Kingdom,Europe
16563.0,United Kingdom,Europe
16701.0,United Kingdom,Europe
12842.0,United Kingdom,Europe
14302.0,United Kingdom,Europe
14135.0,United Kingdom,Europe
14831.0,United Kingdom,Europe
15602.0,United Kingdom,Europe
13777.0,United Kingdom,Europe
14000.0,United Kingdom,Europe
16823.0,United Kingdom,Europe
16163.0,United Kingdom,Europe
17193.0,United Kingdom,Europe
15759.0,United Kingdom,Europe
16131.0,United Kingdom,Europe
14560.0,United Kingdom,Europe
17087.0,United Kingdom,Europe
14894.0,United Kingdom,Europe
16202.0,United Kingdom,Europe
16700.0,United Kingdom,Europe
17511.0,United Kingdom,Europe
14299.0,United Kingdom,Europe
17949.0,United Kingdom,Europe
14799.0,United Kingdom,Europe
16550.0,United Kingdom,Europe
12980.0,United Kingdom,Europe
14425.0,United Kingdom,Europe
15353.0,United Kingdom,Europe
17818.0,United Kingdom,Europe
13654.0,United Kingdom,Europe
17189.0,United Kingdom,Europe
13269.0,United Kingdom,Europe
14653.0,United Kingdom,Europe
17019.0,United Kingdom,Europe
15542.0,United Kingdom,Europe
13564.0,United Kingdom,Europe
16467.0,United Kingdom,Europe
15833.0,United Kingdom,Europe
14527.0,United Kingdom,Europe
17476.0,United Kingdom,Europe
15287.0,United Kingdom,Europe
14440.0,United Kingdom,Europe
15680.0,United Kingdom,Europe
15581.0,United Kingdom,Europe
13740.0,United Kingdom,Europe
17768.0,United Kingdom,Europe
12948.0,United Kingdom,Europe
14667.0,United Kingdom,Europe
17377.0,United Kingdom,Europe
14467.0,United Kingdom,Europe
13457.0,United Kingdom,Europe
18108.0,United Kingdom,Europe
16210.0,United Kingdom,Europe
14669.0,United Kingdom,Europe
17909.0,United Kingdom,Europe
16086.0,United Kingdom,Europe
16711.0,United Kingdom,Europe
14739.0,United Kingdom,Europe
16233.0,United Kingdom,Europe
14204.0,United Kingdom,Europe
17606.0,United Kingdom,Europe
16797.0,United Kingdom,Europe
16126.0,United Kingdom,Europe
17867.0,United Kingdom,Europe
17412.0,United Kingdom,Europe
16525.0,United Kingdom,Europe
13623.0,United Kingdom,Europe
12435.0,Denmark,Europe
14549.0,United Kingdom,Europe
14106.0,United Kingdom,Europe
14980.0,United Kingdom,Europe
14396.0,United Kingdom,Europe
14122.0,United Kingdom,Europe
16987.0,United Kingdom,Europe
17809.0,United Kingdom,Europe
15917.0,United Kingdom,Europe
14987.0,United Kingdom,Europe
14080.0,United Kingdom,Europe
16200.0,United Kingdom,Europe
15794.0,United Kingdom,Europe
15523.0,United Kingdom,Europe
15615.0,United Kingdom,Europe
18001.0,United Kingdom,Europe
17841.0,United Kingdom,Europe
13089.0,United Kingdom,Europe
15989.0,United Kingdom,Europe
17660.0,United Kingdom,Europe
13313.0,United Kingdom,Europe
12437.0,France,Europe
14841.0,United Kingdom,Europe
14646.0,Netherlands,Europe
15482.0,United Kingdom,Europe
16156.0,United Kingdom,Europe
17716.0,United Kingdom,Europe
12779.0,Poland,Other
13611.0,United Kingdom,Europe
15255.0,United Kingdom,Europe
14771.0,United Kingdom,Europe
14838.0,United Kingdom,Europe
13979.0,United Kingdom,Europe
13800.0,United Kingdom,Europe
14483.0,United Kingdom,Europe
14915.0,United Kingdom,Europe
13753.0,United Kingdom,Europe
16301.0,United Kingdom,Europe
13931.0,United Kingdom,Europe
17035.0,United Kingdom,Europe
15194.0,United Kingdom,Europe
14347.0,United Kingdom,Europe
12934.0,United Kingdom,Europe
15291.0,United Kingdom,Europe
17209.0,United Kingdom,Europe
15658.0,United Kingdom,Europe
17314.0,United Kingdom,Europe
17155.0,United Kingdom,Europe
15965.0,United Kingdom,Europe
17322.0,United Kingdom,Europe
16159.0,United Kingdom,Europe
14051.0,United Kingdom,Europe
13993.0,United Kingdom,Europe
17411.0,United Kingdom,Europe
15768.0,United Kingdom,Europe
12835.0,United Kingdom,Europe
